"date","backorder_quantity","backorder_money"
2024-01-02,2693.50,43239.33740000
2024-01-03,1340.27,19009.70300000
2024-01-04,4283.94,58908.59340000
2024-01-05,2447.91,40849.11100000
2024-01-06,2710.24,53612.33960000
2024-01-08,3640.28,50490.84760000
2024-01-09,81.00,711.10000000
2024-01-10,4105.21,63610.46040000
2024-01-11,4041.47,57747.08320000
2024-01-12,2197.51,36408.74900000
2024-01-13,1627.24,19578.09380000
2024-01-15,2580.08,30304.60700000
2024-01-16,2431.17,32140.69980000
2024-01-17,2526.24,27539.61320000
2024-01-18,3376.00,42815.48360000
2024-01-19,2134.45,33332.91540000
2024-01-20,1024.15,17330.28240000
2024-01-22,2567.36,36327.89720000
2024-01-23,2435.39,38217.22840000
2024-01-24,1652.06,23546.15040000
2024-01-25,2899.40,45883.30260000
2024-01-26,1479.91,23183.15590000
2024-01-27,921.72,8301.01620000
2024-01-29,1217.97,15311.72460000
2024-01-30,1026.13,13070.80480000
2024-01-31,4855.07,45082.82700000
2024-02-01,1271.06,15359.02520000
2024-02-02,1016.04,12133.98200000
2024-02-03,739.88,8864.75420000
2024-02-05,1756.13,21744.12200000
2024-02-06,1325.29,16493.00700000
2024-02-07,1118.17,15114.75020000
2024-02-08,1340.89,17711.88260000
2024-02-09,1231.34,18181.04860000
2024-02-10,542.84,6982.22280000
2024-02-14,1187.12,14963.94540000
2024-02-15,1708.44,21391.03960000
2024-02-16,832.19,10136.03640000
2024-02-17,641.22,9199.32580000
2024-02-19,847.42,13506.22760000
2024-02-20,1174.48,16695.17910000
2024-02-21,524.90,8422.77460000
2024-02-22,1180.06,17212.81160000
2024-02-23,730.05,11443.09580000
2024-02-24,419.87,8237.62380000
2024-02-26,618.14,10965.37300000
2024-02-27,590.87,9889.37920000
2024-02-28,536.07,10679.84740000
2024-02-29,526.84,11004.86600000
2024-03-01,762.46,12480.87500000
2024-03-02,375.14,4554.94660000
2024-03-04,538.08,7190.81380000
2024-03-05,489.08,6221.52040000
2024-03-06,525.55,9817.47240000
2024-03-07,722.22,14952.88080000
2024-03-08,449.87,5789.99180000
2024-03-09,397.58,4935.60260000
2024-03-10,8.00,52.80000000
2024-03-11,415.50,5196.57720000
2024-03-12,270.00,4950.79160000
2024-03-13,424.07,8444.75880000
2024-03-14,506.91,8938.43580000
2024-03-15,391.58,4498.91380000
2024-03-16,169.23,2448.10820000
2024-03-18,352.08,4028.41860000
2024-03-19,175.08,2361.42540000
2024-03-20,413.06,7555.57100000
2024-03-21,244.80,4163.18220000
2024-03-22,383.95,4250.75640000
2024-03-23,171.10,2384.92460000
2024-03-25,457.10,7151.42300000
2024-03-26,304.03,4584.27480000
2024-03-27,429.19,7998.74820000
2024-03-28,373.92,4318.76340000
2024-04-01,431.45,5635.16920000
2024-04-02,668.49,9954.50840000
2024-04-03,422.71,6756.00680000
2024-04-04,555.13,6072.02280000
2024-04-05,218.27,2573.11680000
2024-04-06,188.54,2155.83840000
2024-04-08,262.12,2260.66400000
2024-04-09,368.40,2507.08200000
2024-04-10,277.57,5145.54880000
2024-04-11,588.38,7457.22000000
2024-04-12,278.06,3821.93380000
2024-04-13,228.29,3660.22840000
2024-04-15,280.18,5572.56080000
2024-04-16,445.80,9264.42300000
2024-04-17,668.56,15501.54360000
2024-04-18,563.29,12928.55940000
2024-04-19,429.49,8125.15280000
2024-04-20,306.49,5719.81100000
2024-04-22,336.12,6816.95360000
2024-04-23,314.80,4282.60360000
2024-04-24,311.80,4593.10420000
2024-04-25,591.29,7551.79260000
2024-04-26,544.51,5655.71320000
2024-04-27,465.15,5954.54680000
2024-04-29,478.40,4635.80040000
2024-04-30,144.02,1177.24000000
2024-05-01,6.00,37.62000000
2024-05-02,831.77,7715.96720000
2024-05-03,435.27,3310.58920000
2024-05-04,253.21,1814.80660000
2024-05-06,610.59,4474.36200000
2024-05-07,547.38,4809.70560000
