strategy,model,model_type,MAE,RMSE,MAPE,WMAPE,Bias,Accuracy_20pct,train_size,test_size,n_folds
Simple_Split,LightGBM_default,LightGBM,11.36,78.51,70.47,8.49,-5.63,52.59,42286.0,5910.0,
Simple_Split,LightGBM_deep,LightGBM,13.44,85.08,96.18,10.04,-8.87,50.05,42286.0,5910.0,
Simple_Split,LightGBM_shallow,LightGBM,13.1,72.5,89.77,9.79,-6.84,44.84,42286.0,5910.0,
Simple_Split,XGBoost_default,XGBoost,11.59,80.2,53.38,8.67,-8.02,57.33,42286.0,5910.0,
Simple_Split,XGBoost_deep,XGBoost,16.55,104.97,31.34,12.37,-13.67,72.74,42286.0,5910.0,
Simple_Split,RF_default,RandomForest,9.09,92.39,8.52,6.79,-5.21,93.15,42286.0,5910.0,
Simple_Split,RF_deep,RandomForest,8.85,89.61,3.44,6.62,-4.92,97.87,42286.0,5910.0,
Simple_Split,Ridge_alpha1,Ridge,71.4,252.5,100.01,53.37,-55.4,6.7,42286.0,5910.0,
Simple_Split,Ridge_alpha10,Ridge,71.38,252.48,99.96,53.35,-55.37,6.73,42286.0,5910.0,
Simple_Split,Ridge_alpha100,Ridge,71.22,252.39,99.83,53.23,-55.15,6.7,42286.0,5910.0,
Walk_Forward,LightGBM_default,LightGBM,10.75,73.58,126.32,10.05,-4.5,45.22,46372.0,1797.0,6.0
Walk_Forward,LightGBM_deep,LightGBM,12.26,81.73,145.54,11.5,-5.95,44.41,46372.0,1797.0,6.0
Walk_Forward,LightGBM_shallow,LightGBM,11.62,65.72,132.71,10.72,-4.7,39.0,46372.0,1797.0,6.0
Walk_Forward,XGBoost_default,XGBoost,9.98,75.77,79.5,9.44,-5.12,51.08,46372.0,1797.0,6.0
Walk_Forward,XGBoost_deep,XGBoost,14.46,100.1,45.4,13.86,-9.08,64.33,46372.0,1797.0,6.0
Walk_Forward,RF_default,RandomForest,8.18,86.87,12.28,7.84,-4.52,89.78,46372.0,1797.0,6.0
Walk_Forward,RF_deep,RandomForest,7.99,85.58,6.12,7.65,-4.45,96.35,46372.0,1797.0,6.0
Walk_Forward,Ridge_alpha1,Ridge,65.51,241.9,275.56,61.12,-45.39,6.38,46372.0,1797.0,6.0
Walk_Forward,Ridge_alpha10,Ridge,65.49,241.9,274.51,61.1,-45.38,6.39,46372.0,1797.0,6.0
Walk_Forward,Ridge_alpha100,Ridge,65.38,241.88,266.96,61.0,-45.25,6.44,46372.0,1797.0,6.0
