product_id,location_id,month,predicted_demand_qty,last_month_demand,last_month_sales,last_month_backorder,avg_demand_3m,same_month_last_year
0148-CLAV22GR,1,2025-12,1830.79,1165.0,1165.0,0.0,960.0,1327.0
0148-CLAV22GR,4,2025-12,226.56,267.0,171.0,96.0,245.67,163.0
0148-CLAV22GR,5,2025-12,0.01,0.08,0.08,0.0,0.21,
0148-CLAV22GR,7,2025-12,0.02,0.08,0.08,0.0,0.08,
0148-CLAV22GR,9,2025-12,60.32,139.0,139.0,0.0,210.33,408.0
0148-CLAV22GR,63,2025-12,0.21,0.57,0.57,0.0,0.91,0.16
0148-CLAV22GR,64,2025-12,0.07,0.5,0.5,0.0,0.3,
0148-CLAV22GR,65,2025-12,0.05,0.24,0.24,0.0,0.63,
0148-ORE35G12U,1,2025-12,440.61,780.0,780.0,0.0,1008.0,328.0
0148-ORE35G12U,4,2025-12,168.8,195.0,195.0,0.0,191.0,218.0
0148-ORE35G12U,5,2025-12,0.02,0.82,0.82,0.0,1.38,
0148-ORE35G12U,6,2025-12,0.01,0.16,0.16,0.0,0.32,
0148-ORE35G12U,7,2025-12,0.01,0.5,0.5,0.0,0.69,
0148-ORE35G12U,9,2025-12,71.17,147.0,147.0,0.0,222.67,33.0
0148-ORE35G12U,63,2025-12,0.01,0.08,0.08,0.0,1.01,1.5
0148-ORE35G12U,64,2025-12,0.19,0.25,0.25,0.0,0.3,0.08
0148-ORE35G12U,65,2025-12,0.08,0.24,0.24,0.0,0.35,0.5
0149-CONSPO15GR,1,2025-12,339.41,571.0,571.0,0.0,732.33,329.0
0149-CONSPO15GR,4,2025-12,86.58,170.0,170.0,0.0,242.33,289.0
0149-CONSPO15GR,5,2025-12,0.19,2.91,2.91,0.0,7.76,
0149-CONSPO15GR,6,2025-12,0.16,2.67,2.67,0.0,4.52,
0149-CONSPO15GR,7,2025-12,0.06,1.5,1.5,0.0,1.72,
0149-CONSPO15GR,9,2025-12,100.02,189.0,189.0,0.0,275.33,135.0
0149-CONSPO15GR,63,2025-12,0.28,1.41,1.41,0.0,3.9,3.49
0149-CONSPO15GR,64,2025-12,0.47,1.67,1.67,0.0,4.16,1.92
0149-CONSPO15GR,65,2025-12,0.22,1.16,1.16,0.0,3.36,0.83
0149-CU14G30,1,2025-12,715.86,1284.0,1284.0,0.0,1704.0,860.0
0149-CU14G30,4,2025-12,55.76,166.0,166.0,0.0,329.67,91.0
0149-CU14G30,5,2025-12,0.08,2.99,2.99,0.0,2.17,
0149-CU14G30,6,2025-12,0.01,0.16,0.16,0.0,0.38,
0149-CU14G30,7,2025-12,0.02,0.66,0.66,0.0,1.47,
0149-CU14G30,9,2025-12,45.39,104.0,104.0,0.0,164.0,61.0
0149-CU14G30,63,2025-12,0.08,0.41,0.41,0.0,2.06,0.91
0149-CU14G30,64,2025-12,0.02,0.17,0.17,0.0,1.0,1.75
0149-CU14G30,65,2025-12,0.34,0.75,0.75,0.0,0.92,
0149-SAZCOMDISP,1,2025-12,0.18,3.0,1.0,2.0,7.0,3.0
0149-SAZCOMDISP,4,2025-12,0.16,2.0,2.0,0.0,4.0,
0149-SAZCOMDISP,9,2025-12,0.22,2.0,2.0,0.0,12.0,
0150-AJO75G,1,2025-12,608.83,1147.0,1147.0,0.0,1596.69,794.0
0150-AJO75G,4,2025-12,202.82,255.0,255.0,0.0,253.67,79.0
0150-AJO75G,5,2025-12,0.08,2.64,2.64,0.0,4.82,
0150-AJO75G,6,2025-12,0.01,0.32,0.32,0.0,1.34,
0150-AJO75G,7,2025-12,0.01,0.08,0.08,0.0,0.6,
0150-AJO75G,9,2025-12,58.94,154.0,154.0,0.0,275.67,57.0
0150-AJO75G,63,2025-12,2.23,5.15,5.15,0.0,8.15,7.33
0150-AJO75G,64,2025-12,1.22,0.99,0.99,0.0,1.04,0.33
0150-AJO75G,65,2025-12,0.61,1.24,1.24,0.0,1.71,
0150-ANIESTRE,1,2025-12,502.1,681.0,681.0,0.0,1073.33,288.0
0150-ANIESTRE,4,2025-12,103.29,171.0,171.0,0.0,239.67,39.0
0150-ANIESTRE,5,2025-12,0.03,0.08,0.08,0.0,1.64,
0150-ANIESTRE,6,2025-12,0.01,0.08,0.08,0.0,0.32,
0150-ANIESTRE,7,2025-12,0.02,0.75,0.75,0.0,0.77,
0150-ANIESTRE,9,2025-12,51.64,117.0,117.0,0.0,175.0,49.0
0150-ANIESTRE,10,2025-12,0.07,0.42,0.42,0.0,3.81,
0150-ANIESTRE,24,2025-12,0.03,0.58,0.58,0.0,2.72,
0150-ANIESTRE,63,2025-12,0.05,0.41,0.41,0.0,3.08,0.66
0150-ANIESTRE,64,2025-12,0.04,0.33,0.33,0.0,2.13,0.25
0150-ANIESTRE,65,2025-12,6.37,2.34,2.34,0.0,1.19,0.67
0150-BICAR50GR,1,2025-12,62.07,223.0,223.0,0.0,467.36,176.0
0150-BICAR50GR,4,2025-12,44.08,92.0,92.0,0.0,139.67,37.0
0150-BICAR50GR,5,2025-12,0.02,0.49,0.49,0.0,0.51,
0150-BICAR50GR,6,2025-12,0.02,0.16,0.16,0.0,0.16,
0150-BICAR50GR,7,2025-12,0.02,0.08,0.08,0.0,0.16,
0150-BICAR50GR,9,2025-12,46.27,115.0,115.0,0.0,201.33,83.0
0150-BICAR50GR,63,2025-12,0.11,0.58,0.58,0.0,2.82,
0150-BICAR50GR,64,2025-12,4.11,1.66,1.66,0.0,0.88,
0150-BICAR50GR,65,2025-12,0.06,0.89,0.89,0.0,0.48,
0150-CALPOACH75,1,2025-12,1158.06,1953.02,1671.0,282.02,2429.03,2529.0
0150-CALPOACH75,4,2025-12,244.05,410.0,410.0,0.0,539.33,431.0
0150-CALPOACH75,5,2025-12,0.11,0.9,0.9,0.0,2.69,
0150-CALPOACH75,6,2025-12,0.01,0.32,0.32,0.0,0.4,
0150-CALPOACH75,7,2025-12,0.02,0.49,0.49,0.0,0.71,
0150-CALPOACH75,9,2025-12,95.77,273.0,273.0,0.0,507.67,579.0
0150-CALPOACH75,10,2025-12,0.02,0.17,0.17,0.0,0.17,
0150-CALPOACH75,63,2025-12,0.09,0.64,0.64,0.0,3.55,0.65
0150-CALPOACH75,64,2025-12,0.07,0.16,0.16,0.0,0.59,0.25
0150-CALPOACH75,65,2025-12,0.52,1.23,1.23,0.0,1.78,0.24
0150-CANERAJ40G,1,2025-12,400.34,842.0,842.0,0.0,1251.33,2546.06
0150-CANERAJ40G,4,2025-12,74.91,155.0,155.0,0.0,215.33,236.0
0150-CANERAJ40G,5,2025-12,0.01,0.41,0.41,0.0,0.68,
0150-CANERAJ40G,6,2025-12,0.06,0.32,0.32,0.0,0.16,
0150-CANERAJ40G,7,2025-12,0.01,0.08,0.08,0.0,0.16,
0150-CANERAJ40G,9,2025-12,76.08,165.0,165.0,0.0,264.67,84.0
0150-CANERAJ40G,63,2025-12,0.03,0.24,0.24,0.0,1.64,0.24
0150-CANERAJ40G,64,2025-12,0.25,0.32,0.32,0.0,0.35,
0150-CANERAJ40G,65,2025-12,0.17,0.41,0.41,0.0,0.68,
0150-CEBADA50GR,1,2025-12,18.21,49.0,49.0,0.0,102.0,480.0
0150-CEBADA50GR,4,2025-12,8.76,27.0,27.0,0.0,49.0,250.0
0150-CEBADA50GR,6,2025-12,0.05,0.75,0.75,0.0,0.36,
0150-CEBADA50GR,9,2025-12,7.19,23.0,23.0,0.0,75.33,40.0
0150-CEBADA50GR,63,2025-12,0.01,0.4,0.4,0.0,0.85,1.17
0150-CEBADA50GR,64,2025-12,6.64,2.33,2.33,0.0,1.19,
0150-CEBADA50GR,65,2025-12,0.02,0.17,0.17,0.0,1.05,
0150-CEBOLLA30G,1,2025-12,1325.63,1748.0,421.0,1327.0,1970.14,928.0
0150-CEBOLLA30G,4,2025-12,177.09,204.0,204.0,0.0,269.33,166.0
0150-CEBOLLA30G,5,2025-12,0.29,3.82,3.82,0.0,10.18,
0150-CEBOLLA30G,6,2025-12,0.18,2.89,2.89,0.0,3.54,
0150-CEBOLLA30G,7,2025-12,0.19,3.91,3.91,0.0,4.94,
0150-CEBOLLA30G,9,2025-12,81.02,156.0,95.0,61.0,223.0,70.0
0150-CEBOLLA30G,63,2025-12,0.55,3.3,3.3,0.0,13.35,1.79
0150-CEBOLLA30G,64,2025-12,2.09,4.42,4.42,0.0,5.96,2.08
0150-CEBOLLA30G,65,2025-12,0.22,1.66,1.66,0.0,6.12,0.25
0150-CHIA25G,1,2025-12,277.71,549.0,549.0,0.0,780.33,1212.0
0150-CHIA25G,4,2025-12,18.5,63.0,63.0,0.0,129.0,15.0
0150-CHIA25G,5,2025-12,0.06,1.66,1.66,0.0,1.9,
0150-CHIA25G,6,2025-12,0.18,0.92,0.92,0.0,0.44,
0150-CHIA25G,7,2025-12,0.06,1.25,1.25,0.0,0.83,
0150-CHIA25G,9,2025-12,22.3,72.0,72.0,0.0,161.67,43.0
0150-CHIA25G,63,2025-12,0.01,0.16,0.16,0.0,1.57,0.58
0150-CHIA25G,64,2025-12,2.15,0.83,0.83,0.0,0.49,
0150-CHIA25G,65,2025-12,0.02,0.08,0.08,0.0,0.27,
0150-CONSMAR25G,1,2025-12,290.87,504.0,496.0,8.0,650.67,365.0
0150-CONSMAR25G,4,2025-12,23.68,67.0,67.0,0.0,140.67,40.0
0150-CONSMAR25G,5,2025-12,0.11,1.31,1.31,0.0,3.52,
0150-CONSMAR25G,6,2025-12,0.11,1.5,1.5,0.0,3.19,
0150-CONSMAR25G,7,2025-12,0.08,0.32,0.32,0.0,1.02,
0150-CONSMAR25G,9,2025-12,33.23,101.0,101.0,0.0,202.0,71.0
0150-CONSMAR25G,63,2025-12,0.29,1.57,1.57,0.0,4.67,11.99
0150-CONSMAR25G,64,2025-12,0.44,1.33,1.33,0.0,2.72,0.75
0150-CONSMAR25G,65,2025-12,1.13,1.33,1.33,0.0,1.44,0.58
0150-CURCUMA30G,1,2025-12,678.86,1061.0,1061.0,0.0,1363.78,1105.0
0150-CURCUMA30G,4,2025-12,80.59,147.0,147.0,0.0,187.0,84.0
0150-CURCUMA30G,5,2025-12,0.17,2.89,2.89,0.0,8.83,
0150-CURCUMA30G,6,2025-12,0.03,0.24,0.24,0.0,1.52,
0150-CURCUMA30G,7,2025-12,0.06,1.0,1.0,0.0,1.98,
0150-CURCUMA30G,9,2025-12,47.42,115.0,115.0,0.0,193.67,42.0
0150-CURCUMA30G,63,2025-12,0.12,1.36,1.36,0.0,9.93,0.65
0150-CURCUMA30G,64,2025-12,0.04,0.33,0.33,0.0,1.37,0.08
0150-CURCUMA30G,65,2025-12,1.01,1.73,1.73,0.0,2.02,
0150-FINAHIERBA,1,2025-12,282.7,637.0,637.0,0.0,925.67,2658.0
0150-FINAHIERBA,4,2025-12,72.04,99.0,99.0,0.0,124.67,136.0
0150-FINAHIERBA,5,2025-12,0.06,1.73,1.73,0.0,2.86,
0150-FINAHIERBA,6,2025-12,0.03,0.33,0.33,0.0,0.58,
0150-FINAHIERBA,7,2025-12,0.04,0.4,0.4,0.0,0.22,
0150-FINAHIERBA,9,2025-12,29.85,70.0,70.0,0.0,119.0,38.0
0150-FINAHIERBA,63,2025-12,0.24,0.66,0.66,0.0,1.37,0.08
0150-FINAHIERBA,64,2025-12,0.49,0.92,0.92,0.0,0.92,
0150-FINAHIERBA,65,2025-12,0.13,0.41,0.41,0.0,1.08,
0150-LAU15G,1,2025-12,366.55,708.0,500.0,208.0,1778.0,789.0
0150-LAU15G,4,2025-12,80.03,146.0,146.0,0.0,357.34,221.0
0150-LAU15G,5,2025-12,0.04,0.66,0.66,0.0,1.24,
0150-LAU15G,6,2025-12,0.02,0.16,0.16,0.0,1.36,
0150-LAU15G,7,2025-12,0.01,0.08,0.08,0.0,0.71,
0150-LAU15G,9,2025-12,25.3,76.0,76.0,0.0,336.33,216.0
0150-LAU15G,63,2025-12,0.02,0.08,0.08,0.0,0.38,
0150-LAU15G,65,2025-12,0.19,0.25,0.25,0.0,0.3,0.33
0150-PAPRI75G,1,2025-12,294.26,585.0,585.0,0.0,1391.33,733.0
0150-PAPRI75G,4,2025-12,226.12,155.0,155.0,0.0,125.67,112.0
0150-PAPRI75G,5,2025-12,0.05,1.41,1.41,0.0,1.37,
0150-PAPRI75G,6,2025-12,0.02,1.33,1.33,0.0,0.83,
0150-PAPRI75G,7,2025-12,0.01,0.33,0.33,0.0,1.02,
0150-PAPRI75G,9,2025-12,24.97,56.0,56.0,0.0,94.33,60.0
0150-PAPRI75G,63,2025-12,0.11,1.08,1.08,0.0,7.29,1.39
0150-PAPRI75G,64,2025-12,0.06,0.24,0.24,0.0,0.63,0.33
0150-PAPRI75G,65,2025-12,0.07,0.33,0.33,0.0,1.34,0.92
0150-PIMINMIX15,1,2025-12,166.87,238.0,238.0,0.0,268.67,405.0
0150-PIMINMIX15,4,2025-12,15.42,35.0,35.0,0.0,54.67,38.0
0150-PIMINMIX15,5,2025-12,0.03,1.0,1.0,0.0,0.89,
0150-PIMINMIX15,6,2025-12,0.02,1.25,1.25,0.0,1.05,
0150-PIMINMIX15,7,2025-12,0.01,0.08,0.08,0.0,0.96,
0150-PIMINMIX15,9,2025-12,24.15,51.0,51.0,0.0,79.72,24.0
0150-PIMINMIX15,63,2025-12,0.28,0.66,0.66,0.0,0.96,
0150-PIMINMIX15,64,2025-12,0.29,0.42,0.42,0.0,0.36,
0150-PIMINMIX15,65,2025-12,0.49,0.99,0.99,0.0,1.02,
0150-PIMOL75G,1,2025-12,474.3,934.0,934.0,0.0,1278.69,544.0
0150-PIMOL75G,4,2025-12,288.24,295.0,295.0,0.0,282.33,122.0
0150-PIMOL75G,5,2025-12,0.04,1.07,1.07,0.0,2.03,
0150-PIMOL75G,6,2025-12,0.02,0.16,0.16,0.0,0.35,
