"date","sales_quantity","net_sales"
2024-01-02,18275.18,221526.40
2024-01-03,10446.52,116917.35
2024-01-04,18789.52,213951.04
2024-01-05,13780.67,178494.91
2024-01-06,13762.91,168587.46
2024-01-08,23547.88,300943.53
2024-01-10,18320.48,218048.39
2024-01-11,19741.36,278307.48
2024-01-12,12307.53,133440.95
2024-01-13,11051.37,137794.80
2024-01-15,14608.94,154457.53
2024-01-16,16932.02,239738.24
2024-01-17,14194.78,160236.09
2024-01-18,20326.65,219306.85
2024-01-19,17183.70,165197.71
2024-01-20,4557.32,42152.09
2024-01-22,21495.68,267588.43
2024-01-23,64921.75,219303.38
2024-01-24,54506.04,143709.19
2024-01-25,19309.44,215566.35
2024-01-26,12467.99,160695.35
2024-01-27,6713.74,82314.21
2024-01-29,26462.34,135750.89
2024-01-30,26063.74,145655.61
2024-01-31,16089.11,185664.80
2024-02-01,24115.63,286463.64
2024-02-02,16050.08,195930.29
2024-02-03,14729.06,187708.50
2024-02-05,21395.69,274389.98
2024-02-06,20884.79,259772.22
2024-02-07,20668.62,269068.30
2024-02-08,18212.99,208877.50
2024-02-09,24666.87,313066.93
2024-02-10,9701.12,118428.35
2024-02-14,13968.68,165799.75
2024-02-15,13204.85,151724.33
2024-02-16,14955.34,201129.77
2024-02-17,14478.04,181990.67
2024-02-19,18070.12,159691.55
2024-02-20,95213.60,331340.77
2024-02-21,11434.09,138832.97
2024-02-22,17260.24,205136.65
2024-02-23,29742.59,248464.69
2024-02-24,9768.34,112774.60
2024-02-26,15515.61,195985.24
2024-02-27,22288.10,149608.33
2024-02-28,11654.23,150331.58
2024-02-29,11207.20,131811.76
2024-03-01,36868.32,474309.94
2024-03-02,11873.90,178329.54
2024-03-04,12109.72,141817.98
2024-03-05,21435.02,262983.06
2024-03-06,24933.66,263881.96
2024-03-07,18529.66,254532.01
2024-03-08,15030.88,198301.13
2024-03-09,17222.22,227496.42
2024-03-11,20997.20,206697.49
2024-03-12,15785.63,202091.68
2024-03-13,14601.80,192276.23
2024-03-14,17051.74,233178.32
2024-03-15,14622.54,174553.27
2024-03-16,8943.92,115485.96
2024-03-18,15532.33,197877.25
2024-03-19,15406.21,183474.45
2024-03-20,21258.45,271588.90
2024-03-21,25117.13,337987.27
2024-03-22,14515.41,185180.56
2024-03-23,15928.28,204823.98
2024-03-25,16176.10,190794.76
2024-03-26,13829.53,163655.01
2024-03-27,50534.28,229681.23
2024-03-28,14737.97,191341.98
2024-04-01,28648.55,388541.10
2024-04-02,19111.16,235779.64
2024-04-03,20869.32,286710.38
2024-04-04,21488.78,274198.36
2024-04-05,16014.06,189233.35
2024-04-06,13619.48,170371.80
2024-04-08,18934.55,249357.05
2024-04-09,15790.59,201850.46
2024-04-10,17305.81,204093.12
2024-04-11,19912.59,242995.43
2024-04-12,13738.95,186400.51
2024-04-13,12516.88,150336.12
2024-04-15,18612.12,196384.43
2024-04-16,15014.99,179053.69
2024-04-17,15676.36,194544.21
2024-04-18,25340.84,339420.69
2024-04-19,18608.95,255197.80
2024-04-20,12151.44,152398.70
2024-04-22,15628.76,191249.49
2024-04-23,15476.35,207638.16
2024-04-24,17749.68,218144.66
2024-04-25,15124.32,195227.92
2024-04-26,16017.19,210250.32
2024-04-27,10292.36,136359.04
2024-04-29,15512.68,189266.04
2024-04-30,8876.90,109793.76
2024-05-02,30878.62,451750.77
2024-05-03,16666.24,217839.28
2024-05-04,13968.53,176628.76
2024-05-06,14957.71,185148.74
2024-05-07,23816.57,298084.07
2024-05-08,21501.74,287125.40
2024-05-09,20986.55,289830.75
2024-05-10,14486.21,156580.97
2024-05-11,14482.59,210497.60
2024-05-13,15475.09,183161.98
2024-05-14,15838.58,219370.96
2024-05-15,13579.67,165104.23
2024-05-16,18260.79,230193.44
2024-05-17,13102.44,161721.44
2024-05-18,11587.09,153204.01
2024-05-20,14816.08,180021.64
2024-05-21,17778.96,215871.77
2024-05-22,14748.00,189528.13
2024-05-23,21949.49,277380.55
2024-05-24,17383.96,179925.87
2024-05-25,10586.02,140747.96
2024-05-27,12127.18,149858.39
2024-05-28,14390.07,169899.28
2024-05-29,11111.99,138060.80
2024-05-30,16148.66,221457.84
2024-05-31,10931.81,149175.02
2024-06-01,18419.85,272681.10
2024-06-03,15490.57,197162.59
2024-06-04,19506.75,255573.18
2024-06-05,19166.59,259170.22
2024-06-06,21577.98,280419.66
2024-06-07,15686.99,187419.00
2024-06-08,8276.71,92934.11
2024-06-10,20773.52,303488.14
2024-06-11,16064.49,198338.96
2024-06-12,18279.35,252672.00
2024-06-13,20845.74,272992.19
2024-06-14,16402.06,213277.48
2024-06-15,12937.54,159049.61
2024-06-17,12641.36,148365.37
2024-06-18,17347.60,229431.41
2024-06-19,18437.65,231570.30
2024-06-20,48002.74,306002.86
2024-06-21,17291.00,212910.88
2024-06-22,17915.42,209352.91
2024-06-24,19748.83,233528.27
2024-06-25,16392.92,188649.49
2024-06-26,19191.65,239790.68
2024-06-27,20322.54,249520.43
2024-06-28,12994.80,147681.61
2024-06-29,9127.23,108112.13
2024-07-02,19688.91,272784.72
2024-07-03,16388.49,215042.25
2024-07-04,21764.24,274804.06
2024-07-05,15503.05,200631.36
2024-07-06,14885.86,209277.21
2024-07-08,17908.21,217085.73
2024-07-09,20219.31,264368.30
2024-07-10,18718.84,212545.85
2024-07-11,22205.13,303353.66
2024-07-12,13774.82,184958.08
2024-07-13,11142.53,138703.78
2024-07-15,13519.71,159924.78
2024-07-16,18844.59,226641.85
2024-07-17,12549.00,146975.53
2024-07-18,20456.30,259895.82
2024-07-19,14078.88,170676.82
2024-07-20,9921.98,119283.26
2024-07-22,17361.14,196610.18
2024-07-23,15550.80,202238.26
2024-07-24,13083.26,155800.53
2024-07-25,22277.90,290960.09
2024-07-26,10996.24,119113.43
2024-07-27,11868.03,141745.50
2024-07-29,13195.94,157800.97
2024-07-30,11814.96,154589.45
2024-07-31,10859.48,136659.55
2024-08-01,32511.67,359791.17
2024-08-02,17388.46,194385.40
2024-08-03,12433.58,174266.46
2024-08-05,13692.55,155958.96
2024-08-06,17358.47,250107.55
2024-08-07,19315.94,242402.23
2024-08-08,23955.21,281661.41
2024-08-09,14282.49,196412.74
2024-08-10,11332.29,152484.99
2024-08-12,21744.64,286887.35
2024-08-13,14892.19,177769.83
2024-08-14,14911.85,186885.18
2024-08-15,22296.75,270476.47
2024-08-16,13185.80,145292.35
2024-08-17,11339.30,147181.47
2024-08-19,17937.27,213529.23
2024-08-20,17215.35,228401.61
2024-08-21,16276.16,196866.85
2024-08-22,36146.53,295725.67
2024-08-23,29935.76,208451.71
2024-08-24,13630.04,162805.68
2024-08-26,12712.54,152277.56
2024-08-27,16842.49,212716.03
2024-08-28,15983.91,183999.65
2024-08-29,19248.39,238864.04
2024-08-30,34927.52,134419.24
2024-08-31,10567.73,200286.69
2024-09-02,25029.32,371606.28
2024-09-03,19769.46,252249.74
2024-09-04,18648.48,232782.05
2024-09-05,30037.14,396973.98
2024-09-06,16462.26,210239.28
2024-09-07,15733.58,218625.52
2024-09-09,20898.37,251048.26
2024-09-10,16499.21,220228.95
2024-09-11,18190.91,235369.57
2024-09-12,56140.40,362704.23
2024-09-13,15322.82,193801.75
2024-09-14,8731.05,103845.00
2024-09-16,17125.95,168442.15
2024-09-17,15357.81,207852.84
2024-09-18,20857.89,259189.40
2024-09-19,32872.96,392127.61
2024-09-20,14858.46,185466.81
2024-09-21,11549.38,156930.99
2024-09-23,15685.29,181656.74
2024-09-24,15023.21,174973.78
2024-09-25,16351.64,204909.18
2024-09-26,216177.95,263818.55
2024-09-27,14674.87,176168.77
2024-09-28,14720.98,103457.76
2024-09-30,14151.39,154185.03
2025-01-02,23494.44,316363.06
2025-01-03,14154.09,180140.46
2025-01-04,10794.86,153649.97
2025-01-06,17095.67,205021.57
2025-01-07,20832.87,289446.20
2025-01-08,17832.07,217255.61
2025-01-10,19658.12,264817.14
2025-01-11,15104.55,192580.95
2025-01-13,14096.84,163276.43
2025-01-14,14851.00,192695.17
2025-01-15,12542.63,154283.19
2025-01-16,22449.72,285527.28
2025-01-17,15606.12,196567.95
2025-01-18,6730.02,83247.58
2025-01-20,25699.25,328446.75
2025-01-21,18080.54,249977.79
2025-01-22,16947.65,221489.84
2025-01-23,18449.35,222355.17
2025-01-24,12287.56,151848.28
2025-01-25,12675.81,180908.70
2025-01-27,15663.64,178377.56
2025-01-28,13366.62,159801.69
2025-01-29,16374.67,188073.07
2025-01-30,14123.98,161374.22
2025-01-31,6421.09,68407.69
2025-02-01,20007.73,345223.00
2025-02-03,11509.24,121260.26
2025-02-04,22233.34,249321.43
2025-02-05,14619.18,167437.08
2025-02-06,22345.71,286143.33
2025-02-07,49056.34,223903.16
2025-02-08,15242.32,179958.98
2025-02-10,15617.49,183722.54
2025-02-11,19028.90,220369.07
2025-02-12,13774.98,174567.21
2025-02-13,25702.33,322359.80
2025-02-14,15019.59,171841.97
2025-02-15,9790.92,117727.87
2025-02-17,13837.70,157447.77
2025-02-18,21233.00,273048.90
2025-02-19,14163.09,168926.44
2025-02-20,24328.78,308660.68
2025-02-21,15667.13,193171.32
2025-02-22,12370.38,173557.38
2025-02-24,44240.41,257618.76
2025-02-25,19021.88,215020.58
2025-02-26,20070.68,250238.87
2025-02-27,30263.75,423339.99
2025-02-28,13162.17,164323.64
2025-03-01,24395.58,300856.70
2025-03-05,21341.24,261620.55
2025-03-06,210068.36,266873.69
2025-03-07,14361.86,178842.48
2025-03-08,17771.83,244651.55
2025-03-10,17924.66,223986.12
2025-03-11,26478.31,328892.39
2025-03-12,24772.23,304277.29
2025-03-13,28417.52,304367.84
2025-03-14,15444.03,193672.48
2025-03-15,11793.73,129376.89
2025-03-17,23334.11,177329.49
